German,English
ich,I
sie,she
das,the
ist,is
du,you
es,it
wir,we
was,What
zu,to
in,in
ja,Yes
mir,to me
mit,with
auf,on
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
sind,are
war,was
von,from
wenn,if
dich,you
nein,no
habe,have
an,at
bin,am
nur,only
einen,a
uns,us
dem,to the
auch,also
schon,already
als,as
mal,just
dann,then
aus,out of
um,around
wird,becomes
mein,my
bist,are you
doch,but
alles,everything
man,man
muss,must
werden,become
ihnen,them
wo,where
also,so
bitte,please
immer,always
hab,have
warum,Why
los,Come on
sagen,say
machen,make
danke,Thanks
sehr,very
alle,all
mann,man
tun,do
ihm,him
zum,for the
gehen,go
sehen,see
einem,a
wer,who
ihre,her
diese,this
euch,you
einer,one
gibt,gives
deine,your
soll,should
werde,become
nie,never
hey,hey
viel,much
weg,away
am,at the
einfach,simply
leben,life
hatte,had
willst,want
kommen,come
dein,your
wäre,were
gesagt,said
nun,so
bis,until
wurde,became
na,n / A
kannst,can
macht,might
zurück,return
lassen,permit
meinen,think
hätte,had
zwei,two
könnte,could
waren,were
klar,clear
schön,nice
mr.,mr.
ab,away
gerade,straight
tag,Day
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
ob,if
keinen,no
mutter,mother
gemacht,made
paar,pair
